package_id,name,display_name,description,price,base_fee
630,Chemistry,Coliform/E.coli,Coliform/E.coli,35,1
631,Chemistry,NB Silage Hygiene,NB Silage Hygiene,279,0
632,Chemistry,Total Clostridia,,30,1
633,Chemistry,FF-Assessment,,66,0
634,Mold,GPS Mycotoxin,,135,0
635,Chemistry,Chemlock minerals,Chemlock minerals,24,0
636,Chemistry,XRF Minerals,XRF Minerals,0,0
637,Mold,MarSyt Mycotoxins,MarSyt Mycotoxins,160,0
639,Mold,DV Basic Dairy,DV Basic Dairy,102,0
640,Mold,DV Basic Beef,DV Basic Beef,102,0
641,Mold,DV Basic Feedlot,DV Basic Feedlot,102,0
642,Mold,DV Basic Calf,DV Basic Calf,102,0
643,Mold,DV Complete Dairy,DV Complete Dairy,158,0
644,Mold,DV Complete Beef,DV Complete Beef,158,0
645,Mold,DV Complete Feedlot,DV Complete Feedlot,158,0
646,Mold,DV Complete Calf,DV Complete Calf,158,0
647,Water,Heterotrophic Plate Count,Heterotrophic Plate Count,20,1
650,NIR,Select24,Select24,31.5,0
651,Misc,Package Handling 5,,5,0
652,Misc,Package Handling 10,,10,0
653,Misc,Package Handling 15,,15,0
654,Misc,Package Handling 25,,25,0
