package_id,Result_field
631,"Aflatoxin - G1"
639,"Aflatoxin - G1"
640,"Aflatoxin - G1"
641,"Aflatoxin - G1"
642,"Aflatoxin - G1"
643,"Aflatoxin - G1"
644,"Aflatoxin - G1"
645,"Aflatoxin - G1"
646,"Aflatoxin - G1"
549,"Aflatoxin - G2"
551,"Aflatoxin - G2"
559,"Aflatoxin - G2"
560,"Aflatoxin - G2"
561,"Aflatoxin - G2"
616,"Aflatoxin - G2"
617,"Aflatoxin - G2"
631,"Aflatoxin - G2"
639,"Aflatoxin - G2"
640,"Aflatoxin - G2"
641,"Aflatoxin - G2"
642,"Aflatoxin - G2"
643,"Aflatoxin - G2"
644,"Aflatoxin - G2"
645,"Aflatoxin - G2"
646,"Aflatoxin - G2"
548,Aflatoxin
549,Aflatoxin
551,Aflatoxin
559,Aflatoxin
560,Aflatoxin
561,Aflatoxin
616,Aflatoxin
617,Aflatoxin
631,Aflatoxin
639,Aflatoxin
640,Aflatoxin
641,Aflatoxin
642,Aflatoxin
643,Aflatoxin
644,Aflatoxin
645,Aflatoxin
646,Aflatoxin
333,Alanine
334,Alanine
421,Alanine
18,Ammonia
19,Ammonia
288,Ammonia
338,Ammonia
418,Ammonia
419,Ammonia
448,Ammonia
449,Ammonia
453,Ammonia
568,Ammonia
24,aNDF
65,aNDF
147,aNDF
149,aNDF
157,aNDF
181,aNDF
184,aNDF
214,aNDF
307,aNDF
341,aNDF
345,aNDF
346,aNDF
351,aNDF
352,aNDF
354,aNDF
355,aNDF
360,aNDF
388,aNDF
389,aNDF
390,aNDF
391,aNDF
394,aNDF
398,aNDF
401,aNDF
418,aNDF
421,aNDF
424,aNDF
429,aNDF
433,aNDF
434,aNDF
435,aNDF
444,aNDF
447,aNDF
448,aNDF
449,aNDF
451,aNDF
452,aNDF
453,aNDF
454,aNDF
458,aNDF
604,aNDF
605,aNDF
633,aNDF
650,aNDF
23,aNDFom
24,aNDFom
65,aNDFom
147,aNDFom
149,aNDFom
157,aNDFom
184,aNDFom
214,aNDFom
307,aNDFom
341,aNDFom
345,aNDFom
346,aNDFom
351,aNDFom
352,aNDFom
354,aNDFom
355,aNDFom
360,aNDFom
388,aNDFom
389,aNDFom
390,aNDFom
391,aNDFom
394,aNDFom
398,aNDFom
401,aNDFom
421,aNDFom
424,aNDFom
429,aNDFom
433,aNDFom
434,aNDFom
444,aNDFom
447,aNDFom
448,aNDFom
449,aNDFom
451,aNDFom
452,aNDFom
453,aNDFom
454,aNDFom
458,aNDFom
604,aNDFom
605,aNDFom
633,aNDFom
650,aNDFom
334,Arginine
421,Arginine
24,Ash
65,Ash
157,Ash
184,Ash
214,Ash
307,Ash
339,Ash
345,Ash
346,Ash
351,Ash
352,Ash
354,Ash
355,Ash
360,Ash
390,Ash
391,Ash
393,Ash
401,Ash
418,Ash
421,Ash
424,Ash
434,Ash
444,Ash
447,Ash
448,Ash
449,Ash
451,Ash
452,Ash
453,Ash
454,Ash
458,Ash
